               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.02924,            0.019508,                   0,             0.99009,                 0.8,              0.8481,             0.40198,            0.039538,            0.012862,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.028894,            0.018713,                   0,             0.98922,                 0.8,             0.84202,             0.39098,            0.039284,            0.013825,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.02877,            0.018911,                   0,             0.98809,                 0.8,             0.83969,             0.42312,             0.03758,             0.01342,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.028861,            0.019018,                   0,             0.99346,                 0.8,             0.83974,             0.39399,            0.039278,            0.013405,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.028665,            0.019112,                   0,             0.99328,                 0.8,             0.83995,             0.38236,            0.039843,            0.013788,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.028674,            0.018709,                   0,             0.98423,                 0.8,               0.841,              0.3861,            0.038568,            0.013741,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.028268,            0.019245,                   0,             0.95898,                 0.8,             0.84652,             0.38935,            0.039753,            0.013399,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.028045,            0.018652,                   0,             0.90812,                 0.8,             0.84789,             0.39011,            0.038966,            0.013994,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.027936,            0.018405,                   0,             0.99195,                 0.8,             0.84853,             0.42197,            0.037697,             0.01363,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.028057,            0.018716,                   0,             0.99635,                 0.8,             0.83943,             0.40853,            0.039863,            0.013849,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.027835,            0.018464,                   0,             0.98972,                 0.8,              0.8415,             0.39327,            0.040549,            0.013314,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.027835,            0.018109,                   0,             0.99067,                 0.8,              0.8494,             0.41072,            0.038516,            0.013525,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.027293,            0.018259,                   0,                   1,             0.75318,             0.84137,             0.41552,            0.040248,            0.013495,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.027782,            0.018217,                   0,             0.89377,                 0.8,             0.83347,              0.4206,            0.039203,            0.013499,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.027935,            0.018581,                   0,             0.90029,                 0.8,             0.82795,             0.42085,            0.039385,            0.013566,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.027477,             0.01819,                   0,             0.98818,                 0.8,             0.83572,             0.41295,            0.039509,            0.013833,                   0,            0.000298,            0.000298,            0.000298
